run,t_end_days,a_au_before,ecc_before,obliquity_deg_before,lon_perihelion_deg_before,a_au_after,ecc_after,obliquity_deg_after,lon_perihelion_deg_after,days_per_year_after,bound_after
20260724_230314__rp0p25__vinf25__inc90__toff56210__Om270__om270,112420.0,0.9998140247023851,0.01716764960432917,23.457328703109116,282.29061826439505,1.1474261324322619,0.16810262447397872,33.17425362651397,44.20168625367792,448.93647821822987,True
20260724_230314__rp0p25__vinf25__inc90__toff56210__Om270__om90,112420.0,0.9998140247023809,0.01716764960432494,23.457328703109162,282.29061826441034,1.0750484099983966,0.1607422904702079,28.078374220024543,242.92851284018582,407.1362968620373,True
20260724_230314__rp0p25__vinf25__inc90__toff56210__Om90__om0,112420.0,0.9998140247023773,0.017167649604321347,23.45732870310889,282.2906182644251,1.2308314094345498,0.28003870657334556,28.936165418018007,150.31619155313516,498.76462791416895,True
20260724_230314__rp0p25__vinf25__inc90__toff56210__Om90__om180,112420.0,0.999814024702384,0.0171676496043271,23.45732870310897,282.2906182644004,1.2361678586399043,0.20313075892295313,17.797460155715378,36.97571578460274,502.0118415140389,True
20260724_230314__rp0p25__vinf25__inc90__toff56210__Om90__om270,112420.0,0.9998140247023809,0.01716764960432494,23.457328703109162,282.29061826441034,1.0361719835304073,0.09983794536897765,23.300143004957945,300.1054980902577,385.2525824225857,True
20260724_230314__rp0p25__vinf25__inc90__toff56210__Om90__om90,112420.0,0.9998140247023893,0.01716764960433319,23.457328703109063,282.2906182643781,0.9189758173638711,0.1410419445780811,22.272458104280794,206.71702538061868,321.77619742826914,True
20260724_230314__rp0p25__vinf25__incm30__toff56210__Om0__om0,112420.0,0.9998140247023771,0.017167649604331016,23.45732870310905,282.29061826440665,1.6461932214301587,0.31923439455348146,23.39853775250955,94.09909898251982,771.4699316676089,True
20260724_230314__rp0p25__vinf25__incm30__toff56210__Om0__om180,112420.0,0.9998140247023904,0.01716764960432561,23.45732870310905,282.29061826439045,0.7277798548862059,0.3476638808286621,24.213038100792616,259.1024178891048,226.77638887551552,True
20260724_230314__rp0p25__vinf25__incm30__toff56210__Om0__om270,112420.0,0.9998140247023876,0.017167649604322297,23.457328703109162,282.2906182644027,1.1679960423987341,0.07528651970481091,22.69581966658713,83.68669778340885,461.0625492616138,True
20260724_230314__rp0p25__vinf25__incm30__toff56210__Om0__om90,112420.0,0.9998140247024047,0.01716764960432103,23.457328703109116,282.29061826437254,1.0803905018822206,0.2061032613322903,28.11224587785834,146.30759839060153,410.1747542736664,True
20260724_230314__rp0p25__vinf25__incm30__toff56210__Om180__om0,112420.0,0.9998140247023862,0.017167649604321503,23.4573287031091,282.2906182644075,0.8829994204069216,0.159697711964707,24.93021068156837,286.8083251872852,303.0668381901907,True
20260724_230314__rp0p25__vinf25__incm30__toff56210__Om180__om180,112420.0,0.9998140247023862,0.017167649604321527,23.4573287031091,282.2906182644079,1.3788260118664388,0.20438845730378707,23.30457015809547,71.49021882182656,591.3736806860672,True
