run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_degC,T_global_K,iceline_lat_nh,snowball,peak_diag_insol,spinup_years,S_mean_Wm2,nh_mean_degC,sh_mean_degC,diag_summer_max_degC,diag_winter_min_degC,diag_seasonal_range_K,land_summer_max_degC,land_winter_min_degC,land_seasonal_range_K,ocean_summer_max_degC,ocean_seasonal_range_K,dT_vs_baseline_K,dland_summer_max_vs_baseline_K,ddiag_summer_max_vs_baseline_K,Score,n_ejected,bh_rp_au,bh_inc_deg,bh_Omega_deg,bh_omega_deg
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om90__om270,1.372143451379739,0.1933256472990219,22.50682297855981,62.25978067733916,587.0797035461313,-63.782465108650044,209.36753489134992,,True,379.8552591282014,21,184.1918828497486,-63.78247668443375,-63.78245353286636,-58.84897549613896,-73.89081291973011,15.041837423591147,-51.6565569887417,-76.54093322255328,24.88437623381158,-64.37313015852335,7.621326729168146,-79.09919812432295,-66.23263157326294,-63.94808963203385,5.040038680101366,2,0.25,30.0,90.0,270.0
20260724_230314__rp0p25__vinf25__inc30__toff56210__Om90__om90,0.7211794476627111,0.3006985277158152,19.70500178371639,269.99636077757503,223.6983613393404,131.4052126653283,404.55521266532827,90.0,False,509.54190665705227,51,685.9475433292438,131.40525644230817,131.40516888834847,89.0606533660652,81.58736172226764,7.473291643797552,92.90161967097235,78.32194880922364,14.57967086174871,87.01443122572172,2.6693283551812357,116.08847964965538,78.32554508645111,83.9615392301703,5.66088770526556,2,0.25,30.0,90.0,90.0
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om0__om0,1.4913395684121868,0.258325697887344,23.362028864729133,74.87699575814011,665.2158698687573,-68.4795541588418,204.6704458411582,,True,397.99891883422447,19,158.35869112283336,-68.47956143378683,-68.47954688389675,-61.37196020799112,-77.83138851119874,16.459428303207616,-53.184322427159394,-80.08521528810665,26.90089286094726,-67.82502023783839,8.437335336066113,-83.7962871745147,-67.76039701168062,-66.47107434388602,5.047211686470536,1,0.25,60.0,0.0,0.0
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om0__om180,0.7466365597828374,0.3010083580669216,25.47584342557701,241.79119918159773,235.6468658884745,115.27903050696892,388.4290305069689,90.0,False,735.7830281833485,48,640.0348111344423,115.27907221102784,115.27898880290999,92.35408925474528,65.73990514073839,26.61418411400689,103.71571593871036,56.06878159958778,47.64693433912258,80.19475248666322,6.290672785543222,99.96229749129601,89.13964135418912,87.25497511885038,5.262960054194821,1,0.25,60.0,0.0,180.0
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om0__om270,1.2059558549826817,0.1067430028308991,25.53841560158565,37.36095569783905,483.72095980840254,-54.48987506439787,218.6601249356021,,True,426.46943363218486,26,235.30096442700756,-54.489887887364,-54.48986224143179,-50.75433103404796,-66.35519387599413,15.600862841946174,-43.771028435668335,-70.04705238208304,26.276023946414703,-56.038020517072496,7.5280807459432,-69.80660808007079,-58.34710302018957,-55.853445169942844,4.037043906252116,0,0.25,60.0,0.0,270.0
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om0__om90,1.0387460199177905,0.2485264736478784,24.080009206492928,209.88910682307812,386.6890279954095,9.073624332639495,282.2236243326395,58.82116446134409,False,476.2598263359975,31,325.5544738497329,8.783142200321487,9.364106464957501,1.7804741972137403,-21.165311787992515,22.945785985206257,13.233659546617618,-26.781747115272427,40.01540666189005,-9.39695614840323,7.519043710389283,-6.243108683033418,-1.342415037903617,-3.318639938681148,4.341513391124517,1,0.25,60.0,0.0,90.0
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om180__om0,0.7524068943917406,0.361272438627932,25.97567436561604,257.36148724139883,238.3839106019396,116.70223001083649,389.8522300108365,90.0,False,632.0513604675535,48,644.5583621083691,116.7022665437122,116.70219347796076,88.29707447304597,70.49752257233149,17.799551900714476,95.66826778804891,64.13468555698499,31.533582231063917,80.1317199571463,3.8239941751877495,101.38549699516358,81.09219320352767,83.19796033715107,5.372701112977166,1,0.25,60.0,180.0,0.0
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om180__om180,1.9689159901924524,0.4450486212569844,21.81522322981928,94.1707988900452,1009.1101382039142,-79.45203821036095,193.697961789639,,True,391.00866398600937,13,98.01105510538392,-79.45204213402333,-79.45203428669858,-68.72992911518767,-86.68768098797689,17.957751872789217,-59.27966503659801,-87.80080991628189,28.52114487968388,-76.52256422123645,9.455865043588716,-94.76877122603386,-73.85573962111924,-73.82904325108257,5.008253987698385,0,0.25,60.0,180.0,180.0
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om180__om270,1.1812249882279051,0.1792211759695456,29.2530396320658,95.99625719908782,468.9178109186879,-52.20490682808952,220.94509317191046,,True,635.9761259108442,27,247.86897804950362,-52.20492161588994,-52.204892040289096,-41.628739660075844,-65.08994985975185,23.46121019967601,-29.8089483436598,-69.43355722507037,39.62460888141057,-51.81802252563307,10.030637016660336,-67.52163984376243,-44.38502292818104,-46.72785379597073,2.3199088159441503,0,0.25,60.0,180.0,270.0
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om180__om90,1.1170421400500838,0.0717362632345911,23.813875279014457,168.46516941898187,431.2232078245406,-47.56459969048583,225.58540030951414,,True,420.25641664048635,32,273.38794753450674,-47.56461489815593,-47.56458448281573,-45.49592787625739,-60.019465187626224,14.523537311368834,-39.61287135749636,-64.12916133470374,24.51628997720738,-50.47033073807159,6.5259244005154,-62.881332706158744,-54.1889459420176,-50.59504201215228,2.3852854874383365,0,0.25,60.0,180.0,90.0
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om270__om0,1.178152114562664,0.1143373280132694,26.551296856471257,30.96566290384394,467.08921642955806,-52.40863943839881,220.74136056160117,,True,460.9097261158431,27,246.74757316535099,-52.40865421747573,-52.408624659321895,-48.143335191491595,-64.83070102393779,16.687365832446197,-40.547708978457145,-68.8151218092997,28.267412830842552,-53.91965992924516,7.856645450438577,-67.72537245407172,-55.12378356297838,-53.24244932738648,3.761719749215101,0,0.25,60.0,270.0,0.0
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om270__om180,0.9259299606138324,0.2633317967628132,23.547969340666192,177.5776724910908,325.4355522547376,39.52535289066024,312.67535289066024,90.0,False,777.9504510770184,32,411.38379866947844,39.52281016652789,39.52789561479259,41.847464138742275,1.274264452134965,40.57319968660731,63.07730380828541,-8.27517337865752,71.35247718694293,20.52077129505857,11.913451055902222,24.208619874987324,48.50122922376417,36.74835000284739,5.087327706276651,3,0.25,60.0,270.0,180.0
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om270__om270,0.9774255508517335,0.0683345299161782,32.531052154899434,342.9624023514384,352.95823735974176,20.46143086099808,293.61143086099804,90.0,False,674.4764551467354,28,356.9826636978291,20.47608830527055,20.446773416725605,18.94688550777323,-14.039481180477146,32.98636668825038,33.1700129731035,-24.454409479658626,57.62442245276213,7.617233133113434,13.003154457862909,5.144697845325169,18.593938388582266,13.847771371878343,2.792920618905306,0,0.25,60.0,270.0,270.0
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om270__om90,1.295361092364476,0.1391889977573648,27.8069060669002,159.70851504397132,538.4979606813368,-60.041272669610194,213.1087273303898,,True,399.8221924873489,23,204.7692037610333,-60.041284283820346,-60.041261055400064,-54.87769227746371,-69.82298337313287,14.945291095669162,-48.69617734868088,-73.08797359928637,24.391796250605495,-60.133284500189724,7.4958673943053284,-75.3580056852831,-63.272251933202114,-59.976806413358595,3.4902134592930483,0,0.25,60.0,270.0,90.0
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om90__om0,1.297269837783509,0.3089524629593913,31.30473595914856,133.81652394042806,539.6886333877276,-58.62139000089908,214.5286099991009,,True,721.1457526638222,23,212.57960394467392,-58.62140162357532,-58.62137837822282,-42.5007188463337,-69.89803757838894,27.39731873205524,-27.91802333719369,-73.49846987521539,45.580446538021704,-56.02647393020122,11.349686277715932,-73.93812301657199,-42.494097921714925,-47.599832982228584,5.0772404292644335,2,0.25,60.0,90.0,0.0
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om90__om180,1.2440470544123463,0.1718632879085611,17.63576691780591,44.13528344287694,506.8191325753149,-56.69480505475717,216.4551949452428,,True,358.8860149797593,25,223.16959536511155,-56.694815330831474,-56.69479477868282,-54.70067740987203,-67.97285897902212,13.272181569150092,-48.33563199124269,-70.85246312394968,22.516831132706983,-59.58626132475073,6.259863296497606,-72.01153807043008,-62.91170657576393,-59.799791545766915,4.198182606219317,0,0.25,60.0,90.0,180.0
20260724_230314__rp0p25__vinf25__inc60__toff56210__Om90__om270,1.21685035008661,0.1049540335603889,22.700860786977483,31.75480767888784,490.2905780316742,-55.26043297763528,217.8895670223647,,True,375.704803725915,26,231.06225925710248,-55.26044330567162,-55.26042264959896,-53.12010683991282,-66.739457607415,13.619350767502183,-47.14085299816231,-70.07835311826744,22.937500120105135,-57.55624083806844,6.678493511321996,-70.5771659933082,-61.716927582683546,-58.21922097580771,3.610331575242834,0,0.25,60.0,90.0,270.0
