run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_degC,T_global_K,iceline_lat_nh,snowball,peak_diag_insol,spinup_years,S_mean_Wm2,nh_mean_degC,sh_mean_degC,diag_summer_max_degC,diag_winter_min_degC,diag_seasonal_range_K,absorbed_mean_Wm2,runaway,dT_vs_baseline_K,ddiag_summer_max_vs_baseline_K,Score,n_ejected,bh_rp_au,bh_inc_deg,bh_Omega_deg,bh_omega_deg
20260811_184731__rp1__vinf25__inc30__toff59132__Om180__om90,0.913842767167914,0.0928285584158687,25.07720087782056,312.9766097743212,319.0839860163802,38.659519697674824,311.8095196976748,90.0,False,557.2919599983885,23,409.19891488165837,38.65951970525796,38.65951969009169,19.513057487471777,6.795718856559206,12.717338630912572,284.0985247491464,False,23.61462391612835,21.161274522032148,2.5670330779208284,1,1.0,30.0,180.0,90.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om270__om0,0.9143156294199766,0.1083265407270264,25.12094195517994,320.9610343928219,319.3316800852637,38.728644899923474,311.8786448999235,90.0,False,565.7529337691124,23,409.4200055159111,38.72864490836148,38.72864489148546,19.57625540112764,6.662823957681735,12.913431443445905,284.2429956998897,False,23.683749118377,21.22447243568801,3.0744956157674395,1,1.0,30.0,270.0,0.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om270__om105,1.2967825927671404,0.1736975145775724,23.981731372163107,158.16110926053076,539.3846073135585,-59.91644270820497,213.23355729179502,,True,376.1013580166138,16,205.45474109607508,-59.91644270868191,-59.91644270772803,-59.67513794217472,-68.54555470219043,8.870416760015708,78.07457243399077,False,-74.96133848975144,-58.026920907614354,3.3924079884889355,0,1.0,30.0,270.0,105.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om270__om120,1.3417933021427064,0.1934948349962787,23.500533569707947,161.9194307689596,567.7095759902492,-62.24915851424092,210.90084148575906,,True,353.16638281976986,15,192.62517491025022,-62.24915851485914,-62.24915851362269,-61.88195914396359,-70.44209850185294,8.560139357889348,73.19919661565503,False,-77.29405429578739,-60.233742109403224,3.598923821997525,0,1.0,30.0,270.0,120.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om270__om135,1.2396466434001667,0.152272231679262,23.876041246294157,167.54062093607106,504.1324506395993,-56.53993732463602,216.61006267536396,,True,379.9351304968328,17,224.0250400525001,-56.5399373253485,-56.53993732392355,-56.959820084879766,-65.49024666932544,8.530426584445678,85.13144708537436,False,-71.5848331061825,-55.3116030503194,3.3810939464574057,0,1.0,30.0,270.0,135.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om270__om15,0.9242220532325714,0.0967353905780786,25.24461009063701,333.0490952739808,324.535553190224,35.65698128409638,308.80698128409637,90.0,False,581.7341311720163,22,400.20918643268953,35.65698130018295,35.656981268009815,17.43443839481948,3.9519550336343827,13.482483361185098,277.8232487634035,False,20.61208550254991,19.08265542937985,2.902627726082008,0,1.0,30.0,270.0,15.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om270__om150,1.047189345861124,0.1087917823754033,26.89988948246797,206.9371617835367,391.41333088448215,1.8358138122164465,274.9858138122164,50.05549481018513,False,478.24227315392085,25,312.12827579769413,1.9757177552997727,1.6959098691331203,-15.27671096911865,-24.48291424600634,9.206203276887692,207.13672808109777,False,-13.209081969330027,-13.62849393455828,2.930804296540959,0,1.0,30.0,270.0,150.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om270__om165,1.0152493913922749,0.2594531306314935,30.984373861186675,218.2254741795097,373.6430401702122,14.886751722351015,288.03675172235097,81.4509211694784,False,565.0772433506684,17,341.8104829696696,15.146766807054307,14.626736637647731,3.2540620033972454,-9.188241925220321,12.442303928617566,234.4131876860066,False,-0.15814405919545926,4.902279037957616,3.742757856135277,0,1.0,30.0,270.0,165.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om270__om180,1.0354258590759509,0.4669130333733229,29.083656222793195,220.38846534631787,384.8365395861087,21.20216033105261,294.3521603310526,90.0,False,735.5849509521248,18,358.8879724729794,21.500403289148764,20.903917372956453,8.954777299690296,-3.11626537545937,12.071042675149666,247.61260872360586,False,6.157264549506136,10.602994334250665,4.082122323454184,0,1.0,30.0,270.0,180.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om270__om195,0.8138402527992828,0.7465588685371576,24.24276165160513,270.9323078564224,268.1677449273625,159.37379501740529,432.5237950174053,90.0,False,1497.1414373086634,30,772.1285970251989,159.3737950082523,159.37379502655827,118.77120719462465,103.11865595941751,15.652551235207142,536.3914718408146,True,144.3288992358588,120.41942422918503,6.008827621327116,1,1.0,30.0,270.0,195.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om270__om225,1.3727124950470342,0.1979947306971525,19.92799427367053,69.32382544409907,587.4449444626534,-63.77828015954418,209.3717198404558,,True,356.85958649213353,15,184.2141113675019,-63.778280159538006,-63.77828015955037,-63.806147771765716,-72.94969189913853,9.143544127372813,70.00335804337203,False,-78.82317594109065,-62.15793073720535,4.0237781250219165,2,1.0,30.0,270.0,225.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om270__om240,0.9957877287730866,0.034053494323833,21.810853436233472,243.59533808915836,362.95095671664,16.266587837432358,289.41658783743236,70.81186354627908,False,444.1781472750813,16,343.33379385774265,16.307081486827254,16.226094188037465,-1.3580625718052413,-11.798175223266227,10.440112651460986,237.29705080162037,False,1.2216920558858835,0.2901544627551289,2.7491762437190843,1,1.0,30.0,270.0,240.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om270__om255,0.899138813610688,0.1059694132980769,23.060314994967797,248.99537066148207,311.41383915525466,43.526174891012985,316.676174891013,90.0,False,503.030110153125,23,423.24993116353284,43.52617488713233,43.52617489489364,22.147056517503508,11.613837763925497,10.53321875357801,294.2699169879414,False,28.481279109466513,23.79527355206388,3.5892359073169446,1,1.0,30.0,270.0,255.0
