run,Score,Earth_s,Earth_da_AU,Earth_de,n_ejected,ejected_bodies,top_impact_body,top_impact_raw_r,bh_rp_au,bh_vinf_kms,bh_inc_deg,bh_tperi_offset_days,bh_Omega_deg,bh_omega_deg
20260811_184731__rp0p25__vinf25__incm30__toff59132__Om270__om270,6.565373094081001,0.5245102318744403,-0.3460779279045944,0.4192631093837637,2,"Mars,Neptune",Neptune,3.6600509751994474,0.25,25.0,-30.0,59132.0,270.0,270.0
20260811_184731__rp0p5__vinf25__incm30__toff59132__Om90__om45,6.56213315957876,0.5846034503174055,-0.3588468886205908,0.5971026866856547,1,Neptune,Neptune,3.6659117008624613,0.5,25.0,-30.0,59132.0,90.0,45.0
20260811_184731__rp0p5__vinf25__inc30__toff59132__Om270__om225,6.559049846690163,0.5839843166862406,-0.3569558045695268,0.5980865747561375,1,Neptune,Neptune,3.6657142645960823,0.5,25.0,30.0,59132.0,270.0,225.0
20260811_184731__rp1__vinf25__incm60__toff59132__Om90__om30,6.507180906351289,0.8193875870489833,-3.4412537667738,1.6583784826076846,4,"Earth,Jupiter,Neptune,Moon",Moon,31.030301944896795,1.0,25.0,-60.0,59132.0,90.0,30.0
20260811_184731__rp1__vinf25__inc60__toff59132__Om270__om210,6.5070929009074865,0.8193699859572443,-3.441260102131572,1.6583260675525116,4,"Earth,Jupiter,Neptune,Moon",Moon,31.01167050956026,1.0,25.0,60.0,59132.0,270.0,210.0
20260811_184731__rp1__vinf25__incm30__toff59132__Om180__om255,6.496312816399588,0.7111656089084921,-0.5422618917601651,0.7175503871916274,0,,Earth,2.7910514601218765,1.0,25.0,-30.0,59132.0,180.0,255.0
20260811_184731__rp1__vinf25__inc30__toff59132__Om0__om75,6.494342100581832,0.7106969639418271,-0.541439421959127,0.7178245792164822,0,,Earth,2.7873145980387948,1.0,25.0,30.0,59132.0,0.0,75.0
20260811_184731__rp0p5__vinf25__inc0__toff59132__Om270__om165,6.49051269162008,0.6738594954190893,-13.04902961597333,1.0348287073707334,4,"Venus,Earth,Neptune,Moon",Moon,33.801394845291895,0.5,25.0,0.0,59132.0,270.0,165.0
20260811_184731__rp0p5__vinf25__inc0__toff59132__Om0__om75,6.490512673272695,0.6738594916730103,-13.049029649175749,1.03482870963669,4,"Venus,Earth,Neptune,Moon",Moon,33.80138481215118,0.5,25.0,0.0,59132.0,0.0,75.0
20260811_184731__rp0p5__vinf25__inc0__toff59132__Om90__om345,6.490512673272695,0.6738594916730103,-13.049029649175749,1.03482870963669,4,"Venus,Earth,Neptune,Moon",Moon,33.80138481215118,0.5,25.0,0.0,59132.0,90.0,345.0
