run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_degC,T_global_K,iceline_lat_nh,snowball,peak_diag_insol,spinup_years,S_mean_Wm2,nh_mean_degC,sh_mean_degC,diag_summer_max_degC,diag_winter_min_degC,diag_seasonal_range_K,dT_vs_baseline_K,Score,n_ejected,bh_rp_au,bh_inc_deg,bh_Omega_deg,bh_omega_deg
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om270__om90,0.9583094257796304,0.1707468427300588,23.648718205477103,268.4294696828359,342.6544924375264,27.734678058016666,300.8846780580166,90.0,False,394.3279782186338,20,376.0205235331759,27.75873209591952,27.710624020113816,8.493176617304758,-0.46968680339392965,8.962863420698689,12.694924264539752,3.1164105060322727,0,0.5,90.0,270.0,90.0
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om90__om0,1.1464609385971436,0.3005187118055326,26.888157152486112,175.9874830406496,448.3701416504297,-47.923707959565725,225.22629204043426,,True,610.8610241795814,21,271.4146314818833,-47.92370796007084,-47.9237079590606,-47.18598311568899,-58.08134403171083,10.895360916021836,-62.96346175304264,4.462108629103847,1,0.5,90.0,90.0,0.0
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om90__om180,1.101783189663961,0.1270557609568532,18.73579195152865,22.616155812507348,422.41759848223137,-45.893117267867424,227.25688273213257,,True,407.26842446156894,26,282.57900843890224,-45.8931172677403,-45.893117267994555,-49.480785058887626,-57.42940544912078,7.9486203902331525,-60.932871061344336,3.547413272556684,0,0.5,90.0,90.0,180.0
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om90__om270,1.0695420782285254,0.04534219258744,22.890934078627943,314.2918272504675,404.0123150612642,-8.571282288588963,264.578717711411,36.07819997184264,False,398.92265544692026,44,297.74829195009835,-8.469175860398687,-8.673388716779234,-27.185839100589707,-34.82923637516206,7.643397274572354,-23.611036082065876,2.100800121364072,0,0.5,90.0,90.0,270.0
20260724_230314__rp0p5__vinf25__inc90__toff56210__Om90__om90,0.9208958098959944,0.1399409729053157,21.089234643145986,184.8342056256632,322.7851420566085,37.69721765904257,310.84721765904254,90.0,False,575.3539902236809,22,405.2022319357906,37.69721764266498,37.69721767542017,17.772297306331726,6.195812507139184,11.576484799192542,22.65746386556566,3.559661160833955,0,0.5,90.0,90.0,90.0
20260724_230314__rp0p5__vinf25__incm30__toff56210__Om0__om0,1.4713503213616754,0.2467379315191616,21.27744459915793,98.26679068129988,651.8864035656708,-67.78405672474852,205.36594327525145,,True,372.6930369513399,14,162.1829969008038,-67.78405672477432,-67.78405672472275,-66.45423345391887,-76.39692918182061,9.942695727901736,-82.82381051822544,4.182496659062605,0,0.5,-30.0,0.0,0.0
20260724_230314__rp0p5__vinf25__incm30__toff56210__Om0__om180,0.7640935574031361,0.2596891387594985,26.22755202281725,255.43516447872943,243.95942279789384,103.02951758930733,376.1795175893073,90.0,False,625.1812071394421,32,603.4847572569753,103.02951758852606,103.02951759008866,71.62760220954026,62.34107184767548,9.286530361864777,87.98976379583041,4.772418313227435,1,0.5,-30.0,0.0,180.0
20260724_230314__rp0p5__vinf25__incm30__toff56210__Om0__om270,1.1186318102774664,0.0535448790646528,22.77962283045016,65.08127402201131,432.1440502417345,-47.762585549240285,225.3874144507597,,True,426.6352501278929,23,272.2997676361903,-47.76258554932204,-47.76258554915852,-49.80588669928672,-58.66617888563069,8.860292186343976,-62.8023393427172,3.128858370873056,0,0.5,-30.0,0.0,270.0
20260724_230314__rp0p5__vinf25__incm30__toff56210__Om0__om90,1.0046029447379847,0.3074597613324245,27.423480273193377,166.9098867771421,367.7811450798502,19.829435874451242,292.9794358744512,90.0,False,877.8001321857812,18,354.3011550204445,19.829452417370057,19.829419331532446,8.708717801822345,-8.898403390203695,17.607121192026042,4.789682080974329,3.791117393456489,1,0.5,-30.0,0.0,90.0
20260724_230314__rp0p5__vinf25__incm30__toff56210__Om180__om0,0.7424832287643939,0.2382385613356867,22.940120973229146,240.34208242994663,233.68334613917204,114.1495815287485,387.2995815287485,90.0,False,690.5432914143746,33,635.4965290328327,114.1495815266712,114.14958153082577,79.08310730803099,70.06827009464963,9.014837213381355,99.10982773527158,4.706034716528398,1,0.5,-30.0,180.0,0.0
