run,a_au,ecc,obliquity_deg,lon_perihelion_deg,days_per_year,T_global_K,T_equator_K,T_pole_K,T_max_anywhere_K,T_min_anywhere_K,equator_seasonal_range_K,pressure_mean_Pa,pressure_min_Pa,pressure_max_Pa,pressure_swing_frac,peak_cap_kg_m2,frac_year_equator_above_273K,frac_year_liquid_water_possible,spinup_years,S_mean_Wm2,collapsed_fraction,min_airborne_fraction,atmosphere_collapsed,permanently_collapsed
20260724_230314__rp0p5__vinf25__incm30__toff56210__Om90__om180,2.085664141336282,0.184272357731158,28.264687474801605,147.4578644657765,1100.1741944001476,172.3885847689474,187.20098205528524,135.70217658232514,217.52087669426044,127.27799050120399,36.42050976652065,111.64889600582404,19.11334652569209,201.65583355520482,0.905217983587568,6097.820022966508,0.0,0.0,44,79.58129447756879,0.0,0.025759227123574258,False,False
20260724_230314__rp0p5__vinf25__incm30__toff56210__Om90__om270,3.373947840152009,0.5902301529277739,43.83608503746776,220.3774797129932,2263.6143516993043,121.69003330917624,132.51758601748807,113.51678713751303,236.22761374367235,76.19045174966229,151.18499419279857,124.90094696512682,0.0,611.022777929273,1.0,890.0833940529939,0.0,0.0,6,37.02724625671981,0.5111111111111111,-0.4891214905547958,True,False
20260724_230314__rp0p5__vinf25__incm30__toff56210__Om90__om90,1.3823389488272282,0.1009587659788858,24.83654468106599,280.9432631546157,593.631187970082,213.85662483375592,231.0228001041154,167.71250551932172,259.16888367924804,147.13746983680747,25.004253820051836,633.6856302805153,558.500815496604,688.0797045813346,0.18831959178853197,819.0542970975006,0.0,0.0,3,178.97555251781463,0.0,0.7526965168417844,False,False
20260724_230314__rp0p5__vinf25__incm60__toff56210__Om0__om0,2.619869658525152,0.443526823187391,25.221095313174494,195.9908948975244,1548.868046127743,151.62080118366723,165.86446624192112,115.1445899961725,228.66961572680617,76.19045174966229,86.30785454139692,35.75987146733482,0.0,132.20413352783137,1.0,7016.575955896212,0.0,0.0,46,55.31007109427316,0.3388888888888889,-0.1148871169087271,True,False
20260724_230314__rp0p5__vinf25__incm60__toff56210__Om0__om180,1.2748707613217478,0.2247385123910747,26.98645014910944,315.2881902473958,525.76798022129,221.74180517158706,239.43025133431826,181.2467167837659,295.23976536808243,147.01154568455695,58.06504955935036,639.6344196101078,548.2488538098568,723.8187663270575,0.24256059760388893,798.4552896949026,0.05555555555555555,0.05555555555555555,2,214.84241213031203,0.0,0.7388798568865995,False,False
20260724_230314__rp0p5__vinf25__incm60__toff56210__Om0__om270,1.7480719761869468,0.1272642052700439,33.61881709241483,237.46412055975844,844.1776662836016,187.58028654308714,203.29832756492598,156.94620044295402,239.06414666398024,143.52225751221246,31.34717166206955,470.2427146985881,323.89881714686686,605.9144282104126,0.4654380188576921,1019.4882315384763,0.0,0.0,4,112.26005741504507,0.0,0.4365213169095241,False,False
20260724_230314__rp0p5__vinf25__incm60__toff56210__Om0__om90,1.3594865041881332,0.2762121234588566,22.72736300204692,212.9266037877029,578.971576374631,215.43406415261268,232.46451443871513,163.82735107761766,280.896908669923,147.2255958010319,68.97739148818427,644.8757624846734,565.778633160666,720.8827609977268,0.21515860307491785,858.8562873746147,0.07777777777777778,0.05555555555555555,3,191.54959912799384,0.0,0.7625048964429461,False,False
20260724_230314__rp0p5__vinf25__incm60__toff56210__Om180__om0,1.2643192159524097,0.2093808725712894,22.41050912642005,308.46865563512233,519.2541788792361,223.89140470979473,241.57586607088328,175.5878577586739,281.522242982728,147.49230007958582,53.532577255338026,660.731212524573,588.3316699865695,721.4776094207087,0.18454618368689946,793.7841823106487,0.0,0.0,2,217.6804618565572,0.0,0.7928998247797434,False,False
20260724_230314__rp0p5__vinf25__incm60__toff56210__Om180__om180,2.554275729324531,0.4261206758375443,16.14887753344434,187.9612822327421,1491.064936080989,156.2203496283764,169.29039300077534,109.89527177985673,227.16319712426866,76.19045174966229,82.92420143523483,11.59276438057598,0.0,40.622457778129586,1.0,6843.766287258231,0.0,0.0,19,57.64666045818588,0.5222222222222223,-0.04925428218215999,True,False
20260724_230314__rp0p5__vinf25__incm60__toff56210__Om180__om270,1.0749206084234009,0.5725209350847208,35.629393190706544,306.1483863684652,407.0609822724069,234.66704181349888,252.55671857434376,226.4118781805218,557.3002016469464,145.2672080276562,192.80604392142052,584.6995397679362,422.7524773173096,742.0,0.43025272598745334,838.8975239827657,0.2722222222222222,0.22777777777777777,2,359.16144649746496,0.0,0.5697472740125467,False,False
