run,a_au_before,ecc_before,obliquity_deg_before,lon_perihelion_deg_before,a_au_after,ecc_after,obliquity_deg_after,lon_perihelion_deg_after,bound_after,days_per_year_after
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om180__om300,1.5236006899240195,0.09338812971361157,25.178065840552012,250.46041628546064,1.9078054876875628,0.16201656182383023,17.43990538657983,355.7557162353383,True,962.4895719221187
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om180__om315,1.5235975998164186,0.0933930222568937,25.178058013382962,250.46052062554963,2.0674585129306267,0.21198645305307864,19.06008906018314,355.530601991341,True,1085.800650537496
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om180__om330,1.5235991346976907,0.09338814943089911,25.178057028074342,250.4602251823489,2.171673661646163,0.23972884796169458,20.76481829705683,356.340137467405,True,1168.9252464638923
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om180__om345,1.5235956906281227,0.09339303745025102,25.178047280233578,250.46029540120995,2.1912430132963965,0.24504643112563204,22.364402988548385,359.45183888851886,True,1184.7608888720981
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om180__om45,1.5235997704507824,0.09339056125620321,25.178065050615626,250.46055694080832,1.849633318707616,0.12551941585263968,27.158375871533064,30.298061084337288,True,918.8050053361318
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om180__om60,1.5235997529989194,0.09339056405188159,25.17806515345453,250.46054999841326,1.763234762882348,0.10914640184192062,27.662349028159664,54.07697053648155,True,855.185053052641
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om180__om75,1.5235997347359922,0.09339056790525656,25.17806514434708,250.46054278759178,1.7615994668601964,0.15077024732558508,27.645227725889416,78.01701860302231,True,853.9956285562236
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om180__om90,1.5235997590865618,0.09339056276742362,25.17806515649034,250.46055240202054,1.931027410076589,0.23463161594215154,27.398232521249234,85.00916073485766,True,980.1161603716952
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om270__om0,1.5235999430417144,0.09339051747694958,25.17804371032978,250.460903070165,1.524568180726183,0.2213027177357791,19.191444831967416,144.49492087899785,True,687.5672295189321
20260811_184731__rp0p75__vinf25__incm90__toff59132__Om270__om105,1.523593311768885,0.0933906990522756,25.178051891381998,250.45944405677557,1.1314113240080872,0.6827947612249187,12.481814485854498,205.07580920433972,True,439.56760048996296
